"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Command Opcode","Sub Event","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"186","2025-01-05 04:13:53.815751","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","","0e:04","Command Complete","Write Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"188","2025-01-05 04:13:53.818551","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","","0e:04","Command Complete","Write Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"190","2025-01-05 04:13:53.921501","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"192","2025-01-05 04:13:53.924714","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Class of Device)","","","0e:04","Command Complete","Write Class of Device","","0e","","","","","","","","","","","","","","","","","","","",""
"194","2025-01-05 04:13:54.021569","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"196","2025-01-05 04:13:54.024711","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"198","2025-01-05 04:13:54.104669","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"200","2025-01-05 04:13:54.107397","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"202","2025-01-05 04:13:54.110863","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"204","2025-01-05 04:13:54.113399","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"206","2025-01-05 04:13:54.242077","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"208","2025-01-05 04:13:54.244495","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"210","2025-01-05 04:13:54.308407","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"212","2025-01-05 04:13:54.313424","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:01","","","","","","","","","","","","","","","","","","",""
"214","2025-01-05 04:13:54.337066","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:01","","","","","","","","","","","","","","","","","","",""
"216","2025-01-05 04:13:54.342179","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:01","","","","","","","","","","","","","","","","","","",""
"218","2025-01-05 04:13:54.549720","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","LE Set Extended Scan Parameters","","0e","","","","","","","","","","","","","","","","","","","",""
"220","2025-01-05 04:13:54.553608","controller","host","HCI_EVT","8","Rcvd Vendor-Specific","","","ff:05","Vendor-Specific","","","ff","","","","","","","","","","","","","","","","","","","",""
"221","2025-01-05 04:13:54.554643","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"223","2025-01-05 04:13:54.559616","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"225","2025-01-05 04:13:54.564592","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","LE Set Extended Scan Parameters","","0e","","","","","","","","","","","","","","","","","","","",""
"227","2025-01-05 04:13:54.569650","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"229","2025-01-05 04:13:54.837122","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
"231","2025-01-05 04:13:54.841966","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","","0e:04","Command Complete","Write Extended Inquiry Response","","0e","","","","","","","","","","","","","","","","","","","",""
